input_file,row_key,field_name,claimed_value,evidence_mode,source_id,source_locator,extracted_text,derivation_note,support_status,reviewer_note
deep_paralog_families.csv,Olfactory receptors,D_depth,6.5,direct_extract,niimura2003;niimura2012,Niimura & Nei 2003 Fig.2; Niimura 2012,'vertebrate OR genes form two main classes (Class I and Class II)... approximately 800-1000 functional OR genes in humans',Class I/II→main families→subfamilies→clusters→tandem arrays→individual; D=6-7; midpoint 6.5,confirmed,
deep_paralog_families.csv,Rice NBS-LRR,D_depth,5.5,direct_extract,zhou2004,Zhou et al. 2004 Fig.3,'535 NBS-LRR genes... TIR and non-TIR classes... CC-NBS-LRR the largest group',TIR/non-TIR split→CC-NBS-LRR/others→tandem clusters→individual; D=5.5,confirmed,
confirmed_deep_families.csv,Protein kinases,confirmed_t3req,yes,curated_synthesis,manning2002,,gc = T^(1/D) = (9.3e6)^(1/8) = 7.4; T3req threshold gc <= 100; 7.4 << 100,gamma_crit = 7.4; well within T3req zone; confirmed Tier 1,confirmed,
confirmed_deep_families.csv,Amphioxus TLR,confirmed_t3req,yes,curated_synthesis,huang2008,,gc = (4.0e8)^(1/9) = 9.0; T3req confirmed,gamma_crit = 9.0; Tier 1 no-WGD control,confirmed,
confirmed_deep_families.csv,GPCR superfamily,confirmed_t3req,yes,curated_synthesis,fredriksson2003,,gc = (9.3e6)^(1/7.5) = ~11; T3req confirmed,gamma_crit ~ 11; Tier 2 result,confirmed,
confirmed_deep_families.csv,Zinc finger TFs (KRAB-ZF),confirmed_t3req,yes,curated_synthesis,imbeault2017,,gc = (9.3e6)^(1/7.5) = ~11; T3req confirmed,gamma_crit ~ 11; Tier 2 result,confirmed,
confirmed_deep_families.csv,Olfactory receptors,confirmed_t3req,yes,curated_synthesis,niimura2003,,gc = (9.3e6)^(1/6.5) = ~18; T3req confirmed,gamma_crit ~ 18; Tier 3 result,confirmed,
confirmed_deep_families.csv,Rice NBS-LRR,confirmed_t3req,yes,curated_synthesis,zhou2004,,gc = (1.6e8)^(1/5.5) = ~31; T3req confirmed,gamma_crit ~ 31; Tier 3 result using O. sativa T,confirmed,
wgd_adjusted_d.csv,H. sapiens — Homeodomain TFs,D_wgd_adj,5.5,modeling_input,holland2007,,D_raw = 6.5; wgd_adjustment = -1; D_wgd_adj = 5.5,2R WGD contributes +1 D level; adjustment subtracts this inflation,confirmed,
wgd_adjusted_d.csv,H. sapiens — Hox clusters,D_wgd_adj,4.5,modeling_input,amores1998,,D_raw = 5.5; wgd_adjustment = -1; D_wgd_adj = 4.5,2R WGD: -1 level adjustment,confirmed,
wgd_adjusted_d.csv,D. rerio — Hox clusters,D_wgd_adj,3.5,modeling_input,amores1998,,D_raw = 5.5; wgd_adjustment = -2; D_wgd_adj = 3.5,2R + teleost WGD: -2 levels,confirmed,
organism_family_map.csv,H. sapiens,D_family,8,curated_synthesis,manning2002,,D_family = 8.0 for kinases; sourced from deep_paralog_families and confirmed_deep_families,organism_family_map links H. sapiens to kinase D=8 for T computation,confirmed,
organism_family_map.csv,B. floridae,D_family,9,curated_synthesis,huang2008,,D_family = 9.0 for TLR; sourced from deep_paralog_families,B. floridae TLR is the deepest non-WGD family,confirmed,
organism_family_map.csv,O. sativa,D_family,5.5,curated_synthesis,zhou2004,,D_family = 5.5 for NBS-LRR,O. sativa NBS-LRR T3req confirmed,confirmed,
shallow_systems.csv,CPR bacteria,F15_verdict,T2ok,curated_synthesis,,,CPR (Candidate Phyla Radiation) bacteria; ultra-small genomes; D <= 2; F15_verdict = T2ok,D <= 2 puts gamma_crit >> 10000; no temporal exclusion possible,confirmed,CPR bacteria are paradigmatic T2ok negative controls
shallow_systems.csv,Cancer SCNA nesting,F15_verdict,T2ok,curated_synthesis,,,Cancer somatic copy number alteration nesting; D ~ 2-3; T = cell generations,D <= 3 at organism-equivalent level; gamma_crit >> 1e6; T2ok,confirmed,
